コード,略称,説明
ｴ6,輸入返8%軽,課税輸入仕入の返還8%（軽）（共通）
ｵ1,輸入(課)3%,課税売上対応課税輸入仕入3%
ｵ2,輸入(課)4.5%,課税売上対応課税輸入仕入4.5%
ｵ3,輸入(課)5%,課税売上対応課税輸入仕入5%
ｵ4,輸入(課)8%,課税売上対応課税輸入仕入8%
ｵ5,輸入(課)10%,課税売上対応課税輸入仕入10%
ｵ6,輸入(課)8%軽,課税売上対応課税輸入仕入8%（軽）
ｶ1,輸入返(課)3%,課税売上対応課税輸入仕入の返還3%
ｶ2,輸入返(課)4.5%,課税売上対応課税輸入仕入の返還4.5%
ｶ3,輸入返(課)5%,課税売上対応課税輸入仕入の返還5%
ｶ4,輸入返(課)8%,課税売上対応課税輸入仕入の返還8%
ｶ5,輸入返(課)10%,課税売上対応課税輸入仕入の返還10%
ｶ6,輸入返(課)8%軽,課税売上対応課税輸入仕入の返還8%（軽）
ｷ1,輸入(非)3%,非課税売上対応課税輸入仕入3%
ｷ2,輸入(非)4.5%,非課税売上対応課税輸入仕入4.5%
ｷ3,輸入(非)5%,非課税売上対応課税輸入仕入5%
ｷ4,輸入(非)8%,非課税売上対応課税輸入仕入8%
ｷ5,輸入(非)10%,非課税売上対応課税輸入仕入10%
ｷ6,輸入(非)8%軽,非課税売上対応課税輸入仕入8%（軽）
ｸ1,輸入返(非)3%,非課税売上対応課税輸入仕入の返還3%
ｸ2,輸入返(非)4.5%,非課税売上対応課税輸入仕入の返還4.5%
ｸ3,輸入返(非)5%,非課税売上対応課税輸入仕入の返還5%
ｸ4,輸入返(非)8%,非課税売上対応課税輸入仕入の返還8%
ｸ5,輸入返(非)10%,非課税売上対応課税輸入仕入の返還10%
ｸ6,輸入返(非)8%軽,非課税売上対応課税輸入仕入の返還8%（軽）
ｹ3,輸入地方,課税輸入仕入の地方消費税分
ｺ4,特仕入8%,特定課税仕入8%（共通）
ｺ5,特仕入10%,特定課税仕入10%（共通）
ｻ4,特仕返8%,特定課税仕入の返還8%（共通）
ｻ5,特仕返10%,特定課税仕入の返還10%（共通）
ｽ4,特仕入(課)8%,課税売上対応特定課税仕入8%
ｽ5,特仕入(課)10%,課税売上対応特定課税仕入10%
ｾ4,特仕返(課)8%,課税売上対応特定課税仕入の返還8%
ｾ5,特仕返(課)10%,課税売上対応特定課税仕入の返還10%
ﾀ4,特仕入(非)8%,非課税売上対応特定課税仕入8%
ﾀ5,特仕入(非)10%,非課税売上対応特定課税仕入10%
ﾁ4,特仕返(非)8%,非課税売上対応特定課税仕入の返還8%
ﾁ5,特仕返(非)10%,非課税売上対応特定課税仕入の返還10%
ﾃ4,控外仕入8%,控除対象外課税仕入8%
ﾃ5,控外仕入10%,控除対象外課税仕入10%
ﾄ4,控外仕返8%,控除対象外課税仕入の返還8%
ﾄ5,控外仕返10%,控除対象外課税仕入の返還10%
,,
